mode,lam_target,gamma,baseline_tok_per_s,lam_draft,ffn_active,alpha,tv_distance,expected_toks_per_call,tok_per_s,tok_per_s_std,accept_rate,param_ratio,speedup
sweep,0.0,4,6.337638454188814,1.5019,0.03659820556640625,0.8508157730102539,0.1491842269897461,3.294775330886442,13.173674299324917,0.3334572569147789,0.5736938327216105,0.23277308045047324,2.078640868290282
sweep,0.0,4,6.337638454188814,1.6095,0.03594970703125,0.8489086627960205,0.1510913372039795,2.9235611045565797,11.69330328712527,0.9043836045976433,0.4808902761391449,0.23072584773856766,1.8450568570058883
sweep,0.0,4,6.337638454188814,1.7248,0.0353240966796875,0.8485298156738281,0.15147018432617188,3.0249827390410946,11.954344385909659,0.22388592423813616,0.5062456847602737,0.2303320875766218,1.8862458741250103
sweep,0.0,4,6.337638454188814,1.8484,0.0347900390625,0.8457098007202148,0.15429019927978516,3.1307335021220015,13.13819047573675,0.6717606495348611,0.5326833755305004,0.2291764175078213,2.07304196519023
sweep,0.0,4,6.337638454188814,1.9808,0.03409576416015625,0.8489460945129395,0.15105390548706055,3.079344403719112,12.691762419674978,0.6922152088941987,0.5198361009297782,0.22873943976712527,2.0026012072819417
sweep,0.0,4,6.337638454188814,2.1227,0.0335235595703125,0.8490961790084839,0.1509038209915161,3.2170013543782883,13.282975897641455,0.3239461027983855,0.5542503385945721,0.22755975993235247,2.0958872920341762
sweep,0.0,4,6.337638454188814,2.2747,0.03296661376953125,0.8483357429504395,0.15166425704956055,3.1899140935361294,13.320207335226913,0.9962848158541251,0.5474785233840322,0.22720921734915678,2.1017619467426427
sweep,0.0,4,6.337638454188814,2.4377,0.03247833251953125,0.848258376121521,0.151741623878479,3.1253238232203646,13.095474124836832,1.1785524032246053,0.5313309558050912,0.2269018923447112,2.0663018598325813
sweep,0.0,4,6.337638454188814,2.6123,0.03168487548828125,0.8464033007621765,0.1535966992378235,3.093747113454256,12.746049968452889,0.6391641188197605,0.523436778363564,0.225582955867299,2.011167102791811
sweep,0.0,4,6.337638454188814,2.7995,0.0311737060546875,0.8474494814872742,0.15255051851272583,3.495880662547329,14.465366086805867,1.1639307143195992,0.6239701656368323,0.22444169165808192,2.2824536602028935
sweep,0.0,4,6.337638454188814,3.0,0.03058624267578125,0.8417067527770996,0.1582932472229004,3.2147271018578762,13.537045408029039,1.1590860348931185,0.5536817754644691,0.22243287457173205,2.1359762797894906
